,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Adrian Peterson,MIN,RB,27,16,16,0,0,0,0,348,2097,51,40,217,5.43,4,2,0,0,0,2097,12,348,217,1,345.4
1,Doug Martin,TAM,RB,23,16,16,0,0,0,0,319,1454,70,49,472,9.63,1,1,0,0,0,1454,11,319,472,1,311.6
2,Arian Foster,HOU,RB,26,16,16,0,0,0,0,351,1424,58,40,217,5.43,3,2,0,0,0,1424,15,351,217,2,302.1
3,Marshawn Lynch,SEA,RB,26,16,15,0,0,0,0,315,1590,30,23,196,8.52,5,2,0,0,0,1590,11,315,196,1,269.6
4,Alfred Morris,WAS,RB,24,16,16,0,0,0,0,335,1613,16,11,77,7,4,3,0,0,0,1613,13,335,77,0,252
5,Calvin Johnson,DET,WR,27,16,16,0,0,0,0,0,0,204,122,1964,16.1,3,3,0,0,0,0,0,0,1964,5,342.4
6,Brandon Marshall,CHI,WR,28,16,16,0,0,0,0,1,-2,192,118,1508,12.78,2,0,0,0,0,-2,0,1,1508,11,334.6
7,Drew Brees,NOR,QB,33,16,16,422,670,5177,19,15,5,0,0,0,0,5,1,5177,43,670,5,1,15,0,0,345.58
8,Aaron Rodgers,GNB,QB,29,16,16,371,552,4295,8,54,259,1,1,-1,-1,5,4,4295,39,552,259,2,54,-1,0,342.6
9,Ray Rice,BAL,RB,25,16,16,0,0,0,0,257,1143,83,61,478,7.84,1,0,0,0,0,1143,9,257,478,1,283.1
10,Tom Brady,NWE,QB,35,16,16,401,637,4827,8,23,32,0,0,0,0,2,0,4827,34,637,32,4,23,0,0,340.28
11,Dez Bryant,DAL,WR,24,16,14,0,0,0,0,2,-5,138,92,1382,15.02,5,2,0,0,0,-5,0,2,1382,12,297.7
12,A.J. Green,CIN,WR,24,16,16,0,0,0,0,4,38,164,97,1350,13.92,2,1,0,0,0,38,0,4,1350,11,299.8
13,C.J. Spiller,BUF,RB,25,16,9,0,0,0,0,207,1244,57,43,459,10.67,3,3,0,0,0,1244,6,207,459,2,255.3
14,Demaryius Thomas,DEN,WR,25,16,16,0,0,0,0,0,0,143,94,1434,15.26,3,3,0,0,0,0,0,0,1434,10,291.4
15,Jamaal Charles,KAN,RB,26,16,15,0,0,0,0,285,1509,49,35,236,6.74,5,3,0,0,0,1509,5,285,236,1,239.5
16,Trent Richardson,CLE,RB,22,15,15,0,0,0,0,267,950,70,51,367,7.2,3,0,0,0,0,950,11,267,367,1,254.7
17,Cam Newton,CAR,QB,23,16,16,280,485,3869,12,127,741,1,0,6,0,10,3,3869,19,485,741,8,127,6,0,323.46
18,Vincent Jackson,TAM,WR,29,16,16,0,0,0,0,0,0,147,72,1384,19.22,0,0,0,0,0,0,0,0,1384,8,258.4
19,Stevan Ridley,NWE,RB,23,16,12,0,0,0,0,290,1263,14,6,51,8.5,4,2,0,0,0,1263,12,290,51,0,205.4
20,Andre Johnson,HOU,WR,31,16,16,0,0,0,0,0,0,162,112,1598,14.27,0,0,0,0,0,0,0,0,1598,4,295.8
21,Robert Griffin,WAS,QB,22,15,15,258,393,3200,5,120,815,1,0,0,0,12,2,3200,20,393,815,7,120,0,0,317.5
22,Frank Gore,SFO,RB,29,16,16,0,0,0,0,258,1214,36,28,234,8.36,3,1,0,0,0,1214,8,258,234,1,224.8
23,Eric Decker,DEN,WR,25,16,15,0,0,0,0,0,0,122,85,1064,12.52,0,0,0,0,0,0,0,0,1064,13,269.4
24,Julio Jones,ATL,WR,23,16,15,0,0,0,0,6,30,128,79,1198,15.16,0,0,0,0,0,30,0,6,1198,10,261.8
25,Peyton Manning,DEN,QB,36,16,16,400,583,4659,11,23,6,0,0,0,0,2,2,4659,37,583,6,0,23,0,0,308.96
26,Roddy White,ATL,WR,31,16,15,0,0,0,0,0,0,142,92,1351,14.68,1,0,0,0,0,0,0,0,1351,7,269.1
27,Jimmy Graham,NOR,TE,26,15,9,0,0,0,0,0,0,135,85,982,11.55,1,0,0,0,0,0,0,0,982,9,237.2
28,Matt Ryan,ATL,QB,27,16,16,422,615,4719,14,34,141,0,0,0,0,3,2,4719,32,615,141,1,34,0,0,304.86
