Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Tgt,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Walter Payton,CHI,RB,23.0,14.0,0.0,0.0,0.0,0.0,27.0,9.96,11.0,0.0,0.0,0.0,0.0,1852.0,14.0,339.0,269.0,2.0,313.1,0,2121,16.0,0.0,132.28571428571428,19.214285714285715,151.5,0.0,1.0,0.14285714285714285,1.1428571428571428,5.463126843657816,0.0,0.0,0.0,1.9285714285714288,0,321.6,22.97142857142857
1,Lydell Mitchell,BAL,RB,28.0,14.0,0.0,0.0,0.0,0.0,71.0,8.73,5.0,0.0,0.0,0.0,0.0,1159.0,3.0,301.0,620.0,4.0,280.9,0,1779,7.0,0.0,82.78571428571429,44.28571428571429,127.07142857142857,0.0,0.21428571428571427,0.2857142857142857,0.5,3.850498338870432,0.0,0.0,0.0,5.071428571428571,0,255.4,18.242857142857144
2,Nat Moore,MIA,WR,26.0,14.0,0.0,0.0,0.0,0.0,52.0,14.71,0.0,0.0,0.0,0.0,0.0,89.0,1.0,14.0,765.0,12.0,215.4,0,854,13.0,0.0,6.357142857142858,54.64285714285714,61.0,0.0,0.07142857142857142,0.8571428571428571,0.9285714285714286,6.357142857142858,0.0,0.0,0.0,3.7142857142857135,0,189.4,13.528571428571427
3,Tony Dorsett,DAL,RB,23.0,14.0,1.0,1.0,34.0,0.0,29.0,9.41,7.0,0.0,34.0,0.0,1.0,1007.0,12.0,208.0,273.0,1.0,222.36,0,1280,13.0,2.4285714285714284,71.92857142857143,19.5,91.42857142857143,0.0,0.8571428571428571,0.07142857142857142,0.9285714285714286,4.841346153846153,1.0,34.0,34.0,2.071428571428572,0,221.86,15.847142857142858
4,Lawrence McCutcheon,RAM,RB,27.0,14.0,0.0,0.0,0.0,0.0,25.0,10.96,6.0,0.0,0.0,0.0,0.0,1238.0,7.0,294.0,274.0,2.0,218.2,0,1512,9.0,0.0,88.42857142857143,19.571428571428573,108.0,0.0,0.5,0.14285714285714285,0.6428571428571429,4.210884353741497,0.0,0.0,0.0,1.7857142857142858,0,217.7,15.55
5,Chuck Foreman,MIN,RB,27.0,14.0,0.0,0.0,0.0,0.0,38.0,8.11,9.0,0.0,0.0,0.0,0.0,1112.0,6.0,270.0,308.0,3.0,216.0,0,1420,9.0,0.0,79.42857142857143,22.0,101.42857142857143,0.0,0.42857142857142855,0.21428571428571427,0.6428571428571429,4.118518518518519,0.0,0.0,0.0,2.7142857142857144,0,215.0,15.357142857142858
6,Roger Staubach,DAL,QB,35.0,14.0,210.0,361.0,2620.0,9.0,0.0,0.0,8.0,0.0,2620.0,18.0,361.0,171.0,3.0,51.0,0.0,0.0,177.9,0,171,3.0,187.14285714285717,12.214285714285715,0.0,12.214285714285715,1.2857142857142858,0.21428571428571427,0.0,0.21428571428571427,3.3529411764705883,0.5817174515235457,12.476190476190474,7.257617728531857,0.0,0,193.9,13.85
7,Greg Pruitt,CLE,RB,26.0,14.0,4.0,9.0,28.0,0.0,37.0,12.73,8.0,0.0,28.0,3.0,9.0,1086.0,3.0,236.0,471.0,1.0,213.82,0,1557,4.0,2.0,77.57142857142857,33.642857142857146,111.21428571428572,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.2857142857142857,4.601694915254237,0.4444444444444444,7.0,3.111111111111111,2.642857142857143,0,211.32,15.094285714285714
8,Franco Harris,PIT,RB,27.0,14.0,0.0,0.0,0.0,0.0,11.0,5.64,10.0,0.0,0.0,0.0,0.0,1162.0,11.0,300.0,62.0,0.0,179.4,0,1224,11.0,0.0,83.0,4.428571428571429,87.42857142857143,0.0,0.7857142857142857,0.0,0.7857142857142857,3.8733333333333335,0.0,0.0,0.0,0.7857142857142857,0,193.9,13.85
9,Mark van Eeghen,OAK,RB,25.0,14.0,0.0,0.0,0.0,0.0,15.0,9.0,3.0,0.0,0.0,0.0,0.0,1273.0,7.0,324.0,135.0,0.0,191.8,0,1408,7.0,0.0,90.92857142857143,9.642857142857142,100.57142857142857,0.0,0.5,0.0,0.5,3.929012345679012,0.0,0.0,0.0,1.0714285714285714,0,190.3,13.592857142857143
