Unnamed: 0,Player,Tm,Pos,Age,G,Cmp,Att,Yds,Int,Tgt,Rec,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,FlexYds,FlexTDs,avgPassYds,avgRushYds,avgRecYds,avgFlexYds,avgPassTDs,avgRushTDs,avgRecTDs,avgFlexTDs,ydsPerRushAtt,cmpPercentage,ydsPerPassCmp,ydsPerPassAtt,avgRecs,catchPercentage,fantasyPts,avgFantasyPts
0,Barry Sanders,DET,RB,29.0,16.0,0.0,0.0,0.0,0.0,50.0,33.0,9.24,3.0,2.0,0.0,0.0,0.0,2053.0,11.0,335.0,305.0,3.0,348.8,2358,14.0,0.0,128.3125,19.0625,147.375,0.0,0.6875,0.1875,0.875,6.128358208955223,0.0,0.0,0.0,2.0625,0.66,332.3,20.76875
1,Terrell Davis,DEN,RB,25.0,15.0,0.0,0.0,0.0,0.0,58.0,42.0,6.83,4.0,0.0,0.0,0.0,0.0,1750.0,15.0,369.0,287.0,0.0,335.7,2037,15.0,0.0,116.66666666666669,19.133333333333333,135.8,0.0,1.0,0.0,1.0,4.742547425474255,0.0,0.0,0.0,2.8,0.7241379310344828,314.7,20.98
2,Dorsey Levens,GNB,RB,27.0,16.0,0.0,0.0,0.0,0.0,67.0,53.0,6.98,5.0,2.0,0.0,0.0,0.0,1435.0,7.0,329.0,370.0,5.0,301.5,1805,12.0,0.0,89.6875,23.125,112.8125,0.0,0.4375,0.3125,0.75,4.3617021276595755,0.0,0.0,0.0,3.3125,0.7910447761194029,275.0,17.1875
3,Jerome Bettis,PIT,RB,25.0,15.0,0.0,0.0,0.0,0.0,24.0,15.0,7.33,6.0,5.0,0.0,0.0,0.0,1665.0,7.0,375.0,110.0,2.0,236.5,1775,9.0,0.0,111.0,7.333333333333332,118.33333333333331,0.0,0.4666666666666667,0.13333333333333333,0.6,4.44,0.0,0.0,0.0,1.0,0.625,229.0,15.266666666666667
4,Brett Favre,GNB,QB,28.0,16.0,304.0,513.0,3867.0,16.0,0.0,0.0,0.0,7.0,4.0,3867.0,35.0,513.0,187.0,1.0,58.0,0.0,0.0,279.38,187,1.0,241.6875,11.6875,0.0,11.6875,2.1875,0.0625,0.0,0.0625,3.2241379310344827,0.5925925925925926,12.720394736842106,7.538011695906433,0.0,0.0,279.38,17.46125
5,Rob Moore,ARI,WR,29.0,16.0,0.0,0.0,0.0,0.0,208.0,97.0,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,8.0,303.4,1584,8.0,0.0,0.0,99.0,99.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,6.0625,0.4663461538461538,254.9,15.93125
6,Kordell Stewart,PIT,QB,25.0,16.0,236.0,440.0,3020.0,17.0,0.0,0.0,0.0,6.0,4.0,3020.0,21.0,440.0,476.0,11.0,88.0,0.0,0.0,276.4,476,11.0,188.75,29.75,0.0,29.75,1.3125,0.6875,0.0,0.6875,5.409090909090909,0.5363636363636364,12.796610169491524,6.863636363636362,0.0,0.0,276.4,17.275
7,Napoleon Kaufman,OAK,RB,24.0,16.0,0.0,1.0,0.0,0.0,50.0,40.0,10.08,7.0,4.0,0.0,0.0,1.0,1294.0,6.0,272.0,403.0,2.0,249.7,1697,8.0,0.0,80.875,25.1875,106.0625,0.0,0.375,0.125,0.5,4.757352941176472,0.0,0.0,0.0,2.5,0.8,229.7,14.35625
8,Antonio Freeman,GNB,WR,25.0,16.0,0.0,0.0,0.0,0.0,137.0,81.0,15.35,1.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,1243.0,12.0,276.7,1257,12.0,0.0,0.875,77.6875,78.5625,0.0,0.0,0.75,0.75,14.0,0.0,0.0,0.0,5.0625,0.5912408759124088,236.2,14.7625
9,Karim Abdul-Jabbar,MIA,RB,23.0,16.0,0.0,0.0,0.0,0.0,49.0,29.0,9.0,3.0,2.0,0.0,0.0,0.0,892.0,15.0,283.0,261.0,1.0,236.3,1153,16.0,0.0,55.75,16.3125,72.0625,0.0,0.9375,0.0625,1.0,3.1519434628975267,0.0,0.0,0.0,1.8125,0.5918367346938775,221.8,13.8625
